"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_contig_10393" 14.2790044447437 -2.69626817255225 0.870090978299778 -3.09883476532645 0.00194283341329793 0.0160971237925721
"Phel_contig_10394" 6.77672303968331 -2.99488123417302 1.14009269113413 -2.62687521590354 0.00861729283838274 0.049941917174421
"Phel_contig_10397" 17.2900911458318 2.85474718560579 0.883528710332235 3.23107461276761 0.00123325742349339 0.0112680918746522
"Phel_contig_10408" 152.736727646269 -1.7619463976713 0.518508825508458 -3.3981030042131 0.000678548666612161 0.0070633818032524
"Phel_contig_10414" 82.0657342359111 1.71693338318213 0.583578243490809 2.94207915105248 0.00326016586180061 0.0237230474115936
"Phel_contig_10423" 7.22865343426384 3.12197462748191 1.1877485926398 2.62848101595579 0.00857671425081858 0.0497735163400541
"Phel_contig_10438" 134.276210513463 -1.10974843904682 0.421075129562837 -2.63551172019818 0.00840105244806082 0.0490983377910212
"Phel_contig_1044" 414.102744273112 -2.00652790586409 0.506539898724048 -3.9612435484716 7.45604336224441e-05 0.00118768832318938
"Phel_contig_10449" 11.0247893379153 -4.35562363850949 1.1789817675996 -3.69439439880188 0.000220411469177756 0.00288713628516648
"Phel_contig_1045" 171.858194996527 1.23893515973355 0.405578756552963 3.054733858014 0.00225260319324559 0.0179344743730574
"Phel_contig_10459" 103.220238329598 1.44253536458195 0.452047659731031 3.1911134446316 0.00141725619664162 0.0125926506982555
"Phel_contig_10460" 374.970918625881 -2.44728715389597 0.733875244512888 -3.33474547914525 0.000853775057934047 0.0084749730015512
"Phel_contig_1047" 32.1218156261307 1.62411783381535 0.560544816224578 2.89739158548326 0.00376279765600166 0.0265830479616524
"Phel_contig_10487" 8.96122056901388 -3.15278663030907 1.17531787760148 -2.6824969571152 0.00730748165817985 0.0439425400380525
"Phel_contig_1049" 324.790716950806 1.70379520418254 0.643482733708003 2.64777143959185 0.00810242843854484 0.0476873172404819
"Phel_contig_105" 119538.811577382 2.06506548764556 0.774377882748542 2.66674130763641 0.00765906008958096 0.0456374339130893
"Phel_contig_10506" 53.5107914956017 1.6877712570828 0.525832479319351 3.20971283338657 0.00132867640629285 0.0119680610408363
"Phel_contig_10517" 243.345767195311 -1.32359528565477 0.462927152898435 -2.85918697438161 0.00424728363922837 0.0292559543276536
"Phel_contig_10524" 94.8660887262169 -2.14034688388534 0.807578336617358 -2.65032726465949 0.00804138355292415 0.0473926015670291
"Phel_contig_10536" 79.4089185285588 -1.54374613166184 0.519430520379075 -2.97199735305355 0.00295869234838091 0.0219888299616282
"Phel_contig_10537" 17.0190450379294 6.19261573571975 1.13060753495871 5.47724612143672 4.31996160068799e-08 1.95211653922303e-06
"Phel_contig_10538" 60.1206703375525 2.06557780357283 0.757089786850446 2.72831286255465 0.00636591989719826 0.0397276564758714
"Phel_contig_1054" 1097.75396254485 -1.56277393709846 0.357938569531664 -4.36603951103464 1.26519603574331e-05 0.000269509214714552
"Phel_contig_1056" 4973.5702678917 1.43202709521648 0.455072673534422 3.14680968227409 0.00165062362734458 0.0142221777548624
"Phel_contig_10569" 35.8259159966245 2.09796403420597 0.702698723600832 2.98558110858006 0.00283040066503456 0.0212849662801972
"Phel_contig_10574" 34.071730228191 1.87389715055219 0.648039133123276 2.89164196230064 0.00383234409603051 0.0269813013279853
"Phel_contig_10582" 346.849493529622 -1.22493334858831 0.368541233157736 -3.32373487246687 0.000888205938086189 0.00871660529880131
"Phel_contig_10583" 63.3483465521306 -1.49100752012182 0.521482915517398 -2.85916849000219 0.00424753114682971 0.0292559543276536
"Phel_contig_10590" 46.2112269851129 4.30405680691454 0.800188541860071 5.37880334665826 7.4982557357433e-08 3.12668578942192e-06
"Phel_contig_106" 1599.03844900811 3.50892810988184 0.659755342721964 5.31852928299906 1.0460938576082e-07 4.17664091022868e-06
"Phel_contig_1060" 465.970486301233 5.10821503986774 0.676190433807223 7.55440299725395 4.20785429509044e-14 6.26825191544507e-12
"Phel_contig_10601" 167.850961714121 -1.08793350405577 0.383224892261182 -2.83889049491676 0.00452706898036994 0.0306727383864463
"Phel_contig_10606" 127.784633116626 1.51100077315409 0.452355738702208 3.34029314514523 0.000836900000378565 0.0083458171782904
"Phel_contig_10610" 44.8911563687366 2.33697845102806 0.650323929099654 3.59356060334965 0.000326189736192223 0.00396493995596624
"Phel_contig_10616" 88.9697119771306 3.04677319736139 0.655554847114855 4.64762515412778 3.35778370899126e-06 8.66297712374313e-05
"Phel_contig_1062" 254.508532063487 -2.70750274172439 0.553612939870039 -4.89060595722344 1.0052602728325e-06 3.06689574762458e-05
"Phel_contig_10621" 40.5762420260585 2.93450891752463 0.566076351048779 5.18394543790394 2.1724051042029e-07 7.88637819340886e-06
